username,isaPerson,userLocation,screen_name,Lvalue
@arminsunardi,person,bali dan nusa tenggara,arminsunardi,0
@_dwinand,person,jabodetabek,_dwinand,1
@dolmahand,person,maluku dan papua,dolmahand,6
@bnnpkaltara,nonperson,kalimantan,bnnpkaltara,5
@actbare_,person,jawa timur,actbare_,4
@NowelaIDOL8,person,maluku dan papua,NowelaIDOL8,6
@RomeSyahri,person,jawa tengah dan yogyakarta,RomeSyahri,3
@Kopibideng,person,bali dan nusa tenggara,Kopibideng,0
@TernateTourism,nonperson,maluku dan papua,TernateTourism,6
@sadtanick,person,sumatera,sadtanick,8
@alfrzkwidika,person,sumatera,alfrzkwidika,8
@AngginaYuni,person,jawa barat dan banten,AngginaYuni,2
@HaniAngelita,person,maluku dan papua,HaniAngelita,6
@favehotellosari,nonperson,sulawesi,favehotellosari,7
@donatkotak,person,bali dan nusa tenggara,donatkotak,0
@diskominfojabar,nonperson,jawa barat dan banten,diskominfojabar,2
@AnjasChambank,person,sulawesi,AnjasChambank,7
@Sayuko2,person,kalimantan,Sayuko2,5
@MDPcampus,nonperson,sumatera,MDPcampus,8
@AdibAje_,person,jawa barat dan banten,AdibAje_,2
@JatimPemprov,nonperson,jawa timur,JatimPemprov,4
@ajulpi,person,jawa tengah dan yogyakarta,ajulpi,3
@PMIBanjarmasin,nonperson,kalimantan,PMIBanjarmasin,5
@ArcAchmad,person,sumatera,ArcAchmad,8
@jogja_jfrc,nonperson,jawa tengah dan yogyakarta,jogja_jfrc,3
@grandhisfthr,person,jawa tengah dan yogyakarta,grandhisfthr,3
@habibmahdiyahya,person,kalimantan,habibmahdiyahya,5
@Vikingkalsell,nonperson,kalimantan,Vikingkalsell,5
@levazya,person,jawa timur,levazya,4
@KABUPATENFAKFAK,nonperson,maluku dan papua,KABUPATENFAKFAK,6
@pencolaja,person,jawa timur,pencolaja,4
@imanimandaaa,person,jawa tengah dan yogyakarta,imanimandaaa,3
@AremafcOfficial,nonperson,jawa timur,AremafcOfficial,4
@SurbaktiJosia,person,sumatera,SurbaktiJosia,8
@nurulbdryh,person,sumatera,nurulbdryh,8
@AryadiDismiss,person,bali dan nusa tenggara,AryadiDismiss,0
@pr_palembang,nonperson,sumatera,pr_palembang,8
@RajaAmpatBiz,nonperson,maluku dan papua,RajaAmpatBiz,6
@therealDiSastr,person,jabodetabek,therealDiSastr,1
@indieguerillas,person,jawa tengah dan yogyakarta,indieguerillas,3
@Alivia_Nov,person,jawa barat dan banten,Alivia_Nov,2
@ukm_official,nonperson,jawa barat dan banten,ukm_official,2
@omdibmo,person,sumatera,omdibmo,8
@bappedajabar,nonperson,jawa barat dan banten,bappedajabar,2
@BTS_Medan,nonperson,sumatera,BTS_Medan,8
@PolresTolitoli,nonperson,sulawesi,PolresTolitoli,7
@nilamsaridee,person,jawa tengah dan yogyakarta,nilamsaridee,3
@BB_Kalbar,nonperson,kalimantan,BB_Kalbar,5
@persisofficial,nonperson,jawa tengah dan yogyakarta,persisofficial,3
@noviaanggraini5,person,sumatera,noviaanggraini5,8
@ubudfoodfest,nonperson,bali dan nusa tenggara,ubudfoodfest,0
@unyofficial,nonperson,jawa tengah dan yogyakarta,unyofficial,3
@andi_dirgantara,person,jawa timur,andi_dirgantara,4
@RRIPro2Ternate,nonperson,maluku dan papua,RRIPro2Ternate,6
@IbnuSina,person,kalimantan,IbnuSina,5
@bigmall_smd,nonperson,kalimantan,bigmall_smd,5
@UPNVY_Official,nonperson,jawa tengah dan yogyakarta,UPNVY_Official,3
@disporaparjtg,nonperson,jawa tengah dan yogyakarta,disporaparjtg,3
@ovali1956,person,jawa tengah dan yogyakarta,ovali1956,3
@NttBawaslu,nonperson,bali dan nusa tenggara,NttBawaslu,0
@PMIJawaTengah,nonperson,jawa tengah dan yogyakarta,PMIJawaTengah,3
@Akom2005,person,jawa barat dan banten,Akom2005,2
@hadyna57,person,jawa tengah dan yogyakarta,hadyna57,3
@tn_bunaken,nonperson,sulawesi,tn_bunaken,7
@agungradityasan,person,bali dan nusa tenggara,agungradityasan,0
@ppiacid,nonperson,jawa timur,ppiacid,4
@ocsyaadecp,person,kalimantan,ocsyaadecp,5
@bank_jatim,nonperson,jawa timur,bank_jatim,4
@BaliRaniKuta,nonperson,bali dan nusa tenggara,BaliRaniKuta,0
@hmjmesinpolsri,nonperson,sumatera,hmjmesinpolsri,8
@EmilDardak,nonperson,jawa timur,EmilDardak,4
@himpaudijabar,nonperson,jawa barat dan banten,himpaudijabar,2
@Eka_anasri,person,sulawesi,Eka_anasri,7
@PerekonomianRI,nonperson,jabodetabek,PerekonomianRI,1
@AriantooPratama,person,jawa tengah dan yogyakarta,AriantooPratama,3
@HSBC_ID,nonperson,jabodetabek,HSBC_ID,1
@coasteagle1976,nonperson,jawa tengah dan yogyakarta,coasteagle1976,3
@JogjaUpdate,nonperson,jawa tengah dan yogyakarta,JogjaUpdate,3
@ZakyZakOriginal,person,bali dan nusa tenggara,ZakyZakOriginal,0
@BSKalimantan,nonperson,kalimantan,BSKalimantan,5
@officialusu_,nonperson,sumatera,officialusu_,8
@pussmeaw,person,jawa timur,pussmeaw,4
@blogdokter,nonperson,bali dan nusa tenggara,blogdokter,0
@dr_Aldi18,person,jawa timur,dr_Aldi18,4
@IPDNRegSulut,nonperson,sulawesi,IPDNRegSulut,7
@BB_Jatim,nonperson,jawa timur,BB_Jatim,4
@papuachanneltv,nonperson,maluku dan papua,papuachanneltv,6
@jelajahblitar,nonperson,jawa timur,jelajahblitar,4
@Unair_Official,nonperson,jawa timur,Unair_Official,4
@_Salim2018_,person,jawa timur,_Salim2018_,4
@dlhprovkaltim,nonperson,kalimantan,dlhprovkaltim,5
@adetysuperemak,person,kalimantan,adetysuperemak,5
@nnnycbr,person,sumatera,nnnycbr,8
@persib,nonperson,jawa barat dan banten,persib,2
@rinaldysantoso,person,sulawesi,rinaldysantoso,7
@visitsemarang,nonperson,jawa tengah dan yogyakarta,visitsemarang,3
@aldyreva,person,jawa timur,aldyreva,4
@andi_indink,person,sulawesi,andi_indink,7
@wildwestraven,person,jabodetabek,wildwestraven,1
@Standupindo_cmh,nonperson,jawa barat dan banten,Standupindo_cmh,2
@ArieKuntung,person,jawa tengah dan yogyakarta,ArieKuntung,3
@ldiisumbar,nonperson,sumatera,ldiisumbar,8
@angga_fzn,person,jabodetabek,angga_fzn,1
@SH_Jateng,nonperson,jawa tengah dan yogyakarta,SH_Jateng,3
@pikobar_jabar,nonperson,jawa barat dan banten,pikobar_jabar,2
@infolebakbanten,nonperson,jawa barat dan banten,infolebakbanten,2
@Tribun_Jabar,nonperson,jawa barat dan banten,Tribun_Jabar,2
@walhisumut,nonperson,sumatera,walhisumut,8
@ganjarpranowo,person,jawa tengah dan yogyakarta,ganjarpranowo,3
@dodon_jerry,person,kalimantan,dodon_jerry,5
@kecsmgutara,nonperson,jawa tengah dan yogyakarta,kecsmgutara,3
@MalukuBaronda,nonperson,maluku dan papua,MalukuBaronda,6
@TelUniversity,nonperson,jawa barat dan banten,TelUniversity,2
@gebiramadhan,person,jawa barat dan banten,gebiramadhan,2
@estranged2009,person,sumatera,estranged2009,8
@abidfzn,person,jawa barat dan banten,abidfzn,2
@pmi_diy,nonperson,jawa tengah dan yogyakarta,pmi_diy,3
@__kucingbetina,person,jawa barat dan banten,__kucingbetina,2
@MuseumAngkut,nonperson,jawa timur,MuseumAngkut,4
@indonesiana,nonperson,jabodetabek,indonesiana,1
@Ind_Mengajar,nonperson,jabodetabek,Ind_Mengajar,1
@TRANS7,nonperson,jabodetabek,TRANS7,1
@Edi_Kamtono,person,kalimantan,Edi_Kamtono,5
@noviza_amelia,person,jawa timur,noviza_amelia,4
@androgeniuss,person,jawa barat dan banten,androgeniuss,2
@SMPN2CRB,nonperson,jawa barat dan banten,SMPN2CRB,2
@tfsurabaya,nonperson,jawa timur,tfsurabaya,4
@PramborsMKS,nonperson,sulawesi,PramborsMKS,7
@R_Perkasa,person,sulawesi,R_Perkasa,7
@balibirdpark,nonperson,bali dan nusa tenggara,balibirdpark,0
@ArnoldPoernomo,person,jawa timur,ArnoldPoernomo,4
@sandyyags,person,jawa timur,sandyyags,4
@DKLovers_SBY,nonperson,jawa timur,DKLovers_SBY,4
@SuaraPapua,nonperson,maluku dan papua,SuaraPapua,6
@hmfundip,nonperson,jawa tengah dan yogyakarta,hmfundip,3
@wbudiprasetyo,person,maluku dan papua,wbudiprasetyo,6
@srirahayukk,person,sulawesi,srirahayukk,7
@LMT_New2021,person,bali dan nusa tenggara,LMT_New2021,0
@BhayangkaraFC,nonperson,jawa tengah dan yogyakarta,BhayangkaraFC,3
@selaparangtv,nonperson,bali dan nusa tenggara,selaparangtv,0
@achmad_khumaini,person,jawa timur,achmad_khumaini,4
@smashblastJAPUR,nonperson,maluku dan papua,smashblastJAPUR,6
@IM3Jabar,nonperson,jawa barat dan banten,IM3Jabar,2
@A_ChristyJKT48,person,jabodetabek,A_ChristyJKT48,1
@xtianjing,person,jawa tengah dan yogyakarta,xtianjing,3
@HumasUntirta,nonperson,jawa barat dan banten,HumasUntirta,2
@DP_dannypomanto,person,sulawesi,DP_dannypomanto,7
@MahasiswaAE,nonperson,jawa timur,MahasiswaAE,4
@KukuhYEA,person,jawa barat dan banten,KukuhYEA,2
@erlinda_mimi,person,bali dan nusa tenggara,erlinda_mimi,0
@APITOOO,person,jawa barat dan banten,APITOOO,2
@ManojPunjabiMD,person,jabodetabek,ManojPunjabiMD,1
@MiFans_Djogja,nonperson,jawa tengah dan yogyakarta,MiFans_Djogja,3
@ybire,person,bali dan nusa tenggara,ybire,0
@UnethSahureka,person,sulawesi,UnethSahureka,7
@ahmadirfaan_,person,jabodetabek,ahmadirfaan_,1
@A_DeyJKT48,person,jabodetabek,A_DeyJKT48,1
@PoldaJogja,nonperson,jawa tengah dan yogyakarta,PoldaJogja,3
@agungnugraha17,person,kalimantan,agungnugraha17,5
@AbdulHafizhRA,person,jawa barat dan banten,AbdulHafizhRA,2
@OctoS9,person,maluku dan papua,OctoS9,6
@Ristananda_,person,sumatera,Ristananda_,8
@SemenpadangFCID,nonperson,sumatera,SemenpadangFCID,8
@PERSIPURA_,nonperson,maluku dan papua,PERSIPURA_,6
@UnikaAtmaJaya,nonperson,jabodetabek,UnikaAtmaJaya,1
@heiJe_,person,kalimantan,heiJe_,5
@JWMarriottMedan,nonperson,sumatera,JWMarriottMedan,8
@ardhiantods,person,jawa tengah dan yogyakarta,ardhiantods,3
@hi_sulsel,nonperson,sulawesi,hi_sulsel,7
@GusIpul_ID,person,jawa timur,GusIpul_ID,4
@obsbosscha,nonperson,jawa barat dan banten,obsbosscha,2
@DuniaKuli,nonperson,jawa tengah dan yogyakarta,DuniaKuli,3
@mbaakhalu,person,jawa tengah dan yogyakarta,mbaakhalu,3
@PantauPapua,person,maluku dan papua,PantauPapua,6
@Kuliner_Bandung,nonperson,jawa barat dan banten,Kuliner_Bandung,2
@1dg4fux,person,jabodetabek,1dg4fux,1
@melianach,person,kalimantan,melianach,5
@NTT_Update,nonperson,bali dan nusa tenggara,NTT_Update,0
@pksjabar,nonperson,jawa barat dan banten,pksjabar,2
@Hmc_Manado,nonperson,sulawesi,Hmc_Manado,7
@kpubandungbarat,nonperson,jawa barat dan banten,kpubandungbarat,2
@Abriyanto_F,person,bali dan nusa tenggara,Abriyanto_F,0
@iyoaden,person,jabodetabek,iyoaden,1
@KecMakassar,nonperson,sulawesi,KecMakassar,7
@wiraasatya,person,bali dan nusa tenggara,wiraasatya,0
@emiliaNV,person,jabodetabek,emiliaNV,1
@altaresh__,person,jawa barat dan banten,altaresh__,2
@letsgorajaampat,nonperson,maluku dan papua,letsgorajaampat,6
@PerselaFC,nonperson,jawa timur,PerselaFC,4
@emansulaemannas,person,jabodetabek,emansulaemannas,1
@kabarpapuaco,nonperson,maluku dan papua,kabarpapuaco,6
@arkanprdn,person,jawa tengah dan yogyakarta,arkanprdn,3
@puslitkoka_id,nonperson,jabodetabek,puslitkoka_id,1
@angklungMuhibah,nonperson,jawa barat dan banten,angklungMuhibah,2
@AdibHidayat,person,jawa tengah dan yogyakarta,AdibHidayat,3
@yosepmote4,person,maluku dan papua,yosepmote4,6
@unpad,nonperson,jawa barat dan banten,unpad,2
@coffeebeannn_,person,jawa timur,coffeebeannn_,4
@Turahpartayana,person,bali dan nusa tenggara,Turahpartayana,0
@nurdintmpubolon,person,sumatera,nurdintmpubolon,8
@klik_uad,nonperson,jawa tengah dan yogyakarta,klik_uad,3
@GoBatuMlg,nonperson,jawa timur,GoBatuMlg,4
@LPMP_Sulbar,nonperson,sulawesi,LPMP_Sulbar,7
@amrie81587337,person,kalimantan,amrie81587337,5
@KoranSinggalang,nonperson,sumatera,KoranSinggalang,8
@txtdrprogramer,nonperson,jabodetabek,txtdrprogramer,1
@emretyyy,person,sulawesi,emretyyy,7
@arusbaik_id,nonperson,jabodetabek,arusbaik_id,1
@dtlpoldajateng,nonperson,jawa tengah dan yogyakarta,dtlpoldajateng,3
@Adhiewns,person,jawa barat dan banten,Adhiewns,2
@Pusfatja_LAPAN,nonperson,jabodetabek,Pusfatja_LAPAN,1
@angklungudjo,nonperson,jawa barat dan banten,angklungudjo,2
@tnwaykambas,nonperson,sumatera,tnwaykambas,8
@abdulazizlufti8,person,jawa barat dan banten,abdulazizlufti8,2
@agungajiperdna,person,sumatera,agungajiperdna,8
@khizbul,person,sulawesi,khizbul,7
@standupUINjogja,nonperson,jawa tengah dan yogyakarta,standupUINjogja,3
@lpmpkepri,nonperson,sumatera,lpmpkepri,8
@beachwalk_bali,nonperson,bali dan nusa tenggara,beachwalk_bali,0
@TRANSluxuryHTL,nonperson,jawa barat dan banten,TRANSluxuryHTL,2
@TuneHotelsID,nonperson,jawa tengah dan yogyakarta,TuneHotelsID,3
@Brantak29721302,person,maluku dan papua,Brantak29721302,6
@acara_bali,nonperson,bali dan nusa tenggara,acara_bali,0
@alyafrcn,person,jawa barat dan banten,alyafrcn,2
@wisatasemarang,nonperson,jawa tengah dan yogyakarta,wisatasemarang,3
@stregisbali,nonperson,bali dan nusa tenggara,stregisbali,0
@DataScienceIndo,nonperson,jabodetabek,DataScienceIndo,1
@KantorBhsMalut,nonperson,maluku dan papua,KantorBhsMalut,6
@nurdinabdullahh,person,sulawesi,nurdinabdullahh,7
@riaupos,nonperson,sumatera,riaupos,8
@WestJavaCoffee,nonperson,jawa barat dan banten,WestJavaCoffee,2
@PasuruanFess,nonperson,jawa timur,PasuruanFess,4
@je4lousie,person,kalimantan,je4lousie,5
@pln_ntt,nonperson,bali dan nusa tenggara,pln_ntt,0
@denpasarviral_,nonperson,bali dan nusa tenggara,denpasarviral_,0
@kiki_pia,person,sulawesi,kiki_pia,7
@PMI_Surabaya,nonperson,jawa timur,PMI_Surabaya,4
@kanimlabuanbajo,nonperson,bali dan nusa tenggara,kanimlabuanbajo,0
@disdik_bandung,nonperson,jawa barat dan banten,disdik_bandung,2
@PerkebunanJabar,nonperson,jawa barat dan banten,PerkebunanJabar,2
@aldiandria,person,sumatera,aldiandria,8
@humasjateng,nonperson,jawa tengah dan yogyakarta,humasjateng,3
@AlissaWahid,person,jawa timur,AlissaWahid,4
@kumham_kalbar,nonperson,kalimantan,kumham_kalbar,5
@paudgto,nonperson,sulawesi,paudgto,7
@gustumurtika,person,bali dan nusa tenggara,gustumurtika,0
@explorejabar,nonperson,jawa barat dan banten,explorejabar,2
@PSBaritoPutera,nonperson,kalimantan,PSBaritoPutera,5
@Poldakaltim,nonperson,kalimantan,Poldakaltim,5
@YusdinRukka,person,sulawesi,YusdinRukka,7
@Dodit_Mulyanto,person,jawa timur,Dodit_Mulyanto,4
@AIS_PTK,nonperson,kalimantan,AIS_PTK,5
@redlight_wear,nonperson,jabodetabek,redlight_wear,1
@drpriono1,person,jabodetabek,drpriono1,1
@kawankoding,nonperson,jawa timur,kawankoding,4
@a_rief13,person,jabodetabek,a_rief13,1
@madetirtasari,person,bali dan nusa tenggara,madetirtasari,0
@PriaMedan3,person,sumatera,PriaMedan3,8
@truthaboutluth,person,jabodetabek,truthaboutluth,1
@KhofifahIP,person,jawa timur,KhofifahIP,4
@IAImudajatim,nonperson,jawa timur,IAImudajatim,4
@KawanBaikKomodo,nonperson,bali dan nusa tenggara,KawanBaikKomodo,0
@KantorBahasaKT,nonperson,kalimantan,KantorBahasaKT,5
@pertaminaborneo,nonperson,kalimantan,pertaminaborneo,5
@GolkarSulsel,nonperson,sulawesi,GolkarSulsel,7
@AnimalFriendsYK,nonperson,jawa tengah dan yogyakarta,AnimalFriendsYK,3
@arfisulthani,person,sumatera,arfisulthani,8
@infoMKS_,nonperson,sulawesi,infoMKS_,7
@KemFazHas,person,jawa tengah dan yogyakarta,KemFazHas,3
@bpskalteng,nonperson,kalimantan,bpskalteng,5
@DeusBali,nonperson,bali dan nusa tenggara,DeusBali,0
@nblindonesia,nonperson,jabodetabek,nblindonesia,1
@Instakalsel,nonperson,kalimantan,Instakalsel,5
@salinkoordinasi,nonperson,jawa barat dan banten,salinkoordinasi,2
@safari_prigen,nonperson,jawa timur,safari_prigen,4
@infolistrikdjty,nonperson,jawa tengah dan yogyakarta,infolistrikdjty,3
@bemfhunpatti,nonperson,maluku dan papua,bemfhunpatti,6
@anissasu_,person,jawa timur,anissasu_,4
@adninmarwah,person,jawa barat dan banten,adninmarwah,2
@ariabima99,person,jawa tengah dan yogyakarta,ariabima99,3
@BEMUNS,nonperson,jawa tengah dan yogyakarta,BEMUNS,3
@Lombokitacom,nonperson,bali dan nusa tenggara,Lombokitacom,0
@ikomangberata,person,bali dan nusa tenggara,ikomangberata,0
@KediriRiderClub,nonperson,jawa timur,KediriRiderClub,4
@Sukirman_Kir,person,jawa tengah dan yogyakarta,Sukirman_Kir,3
@punapitabanan,nonperson,bali dan nusa tenggara,punapitabanan,0
@LPEMFEBUI,nonperson,jabodetabek,LPEMFEBUI,1
@clsknights,nonperson,jawa timur,clsknights,4
@AndiKossay1,person,maluku dan papua,AndiKossay1,6
@pemkabsidoarjo2,nonperson,jawa timur,pemkabsidoarjo2,4
@4diputra,person,bali dan nusa tenggara,4diputra,0
@alvinlie21,person,jawa tengah dan yogyakarta,alvinlie21,3
@AnurandhaJogja,person,jawa tengah dan yogyakarta,AnurandhaJogja,3
@Rs_Tugurejo,nonperson,jawa tengah dan yogyakarta,Rs_Tugurejo,3
@Puslit_Arkenas,nonperson,jabodetabek,Puslit_Arkenas,1
@Mbonnkoclok,person,jawa timur,Mbonnkoclok,4
@AlfiRizkyR,person,jawa timur,AlfiRizkyR,4
@imuni_id,nonperson,jabodetabek,imuni_id,1
@stupididpid,person,jawa tengah dan yogyakarta,stupididpid,3
@KomikGaJelas,nonperson,jabodetabek,KomikGaJelas,1
@afifnurc,person,jawa barat dan banten,afifnurc,2
@NStevani,person,sulawesi,NStevani,7
@nyamplunk25,person,bali dan nusa tenggara,nyamplunk25,0
@metrotvjateng,nonperson,jawa tengah dan yogyakarta,metrotvjateng,3
@EM_UBOfficial,nonperson,jawa timur,EM_UBOfficial,4
@arukkun,person,sumatera,arukkun,8
@mohnasihunair,person,jawa timur,mohnasihunair,4
@ArfiPrayoga,person,jawa tengah dan yogyakarta,ArfiPrayoga,3
@dharmawankenny,person,jabodetabek,dharmawankenny,1
@aisyahpmbd,person,jawa tengah dan yogyakarta,aisyahpmbd,3
@InfoPadang_,nonperson,sumatera,InfoPadang_,8
@BTS_Palembang,nonperson,sumatera,BTS_Palembang,8
@yusuf_ch,person,jawa tengah dan yogyakarta,yusuf_ch,3
@aminfadlillah,person,jawa tengah dan yogyakarta,aminfadlillah,3
@soundofpapua,nonperson,maluku dan papua,soundofpapua,6
@artjog,nonperson,jawa tengah dan yogyakarta,artjog,3
@JWMarriottSby,nonperson,jawa timur,JWMarriottSby,4
@Riset_Denpasar,nonperson,bali dan nusa tenggara,Riset_Denpasar,0
@kopinusantara_,nonperson,jabodetabek,kopinusantara_,1
@themuliabali,nonperson,bali dan nusa tenggara,themuliabali,0
@BBhsAceh,nonperson,sumatera,BBhsAceh,8
@exploreeastjava,nonperson,jawa timur,exploreeastjava,4
@SamatorSurabaya,nonperson,jawa timur,SamatorSurabaya,4
@Onaalll,person,maluku dan papua,Onaalll,6
@kumham_kalsel,nonperson,kalimantan,kumham_kalsel,5
@SumateraInfo,nonperson,sumatera,SumateraInfo,8
@perekonomianjbr,nonperson,jawa barat dan banten,perekonomianjbr,2
@Kejaricirebon,nonperson,jawa barat dan banten,Kejaricirebon,2
@daudayey,person,jawa barat dan banten,daudayey,2
@bangzhal_,person,sulawesi,bangzhal_,7
@Media_Papua,nonperson,maluku dan papua,Media_Papua,6
@txtdrmks,person,sulawesi,txtdrmks,7
@AA_DeCe,person,jabodetabek,AA_DeCe,1
@Tribun_Maluku,nonperson,maluku dan papua,Tribun_Maluku,6
@VisitJawaTengah,nonperson,jawa tengah dan yogyakarta,VisitJawaTengah,3
@InvestorKalem,person,jawa barat dan banten,InvestorKalem,2
@Choirunnv,person,jawa timur,Choirunnv,4
@andriees,person,maluku dan papua,andriees,6
@perpusub,nonperson,jawa timur,perpusub,4
@224_ofmeee,person,kalimantan,224_ofmeee,5
@SheratonKuta,nonperson,bali dan nusa tenggara,SheratonKuta,0
@anasurbaningrum,person,jawa timur,anasurbaningrum,4
@AgusYudhoyono,person,jawa barat dan banten,AgusYudhoyono,2
@CityHype_Bali,nonperson,bali dan nusa tenggara,CityHype_Bali,0
@tiffany_liuu,person,jawa timur,tiffany_liuu,4
@aldaniarmdhn_,person,jawa timur,aldaniarmdhn_,4
@JRadio917FM,nonperson,kalimantan,JRadio917FM,5
@andiagungka,person,jawa tengah dan yogyakarta,andiagungka,3
@primus_naiaki,person,bali dan nusa tenggara,primus_naiaki,0
@nurfrina,person,kalimantan,nurfrina,5
@infoPLK,nonperson,kalimantan,infoPLK,5
@AzamRaharjo,person,jawa tengah dan yogyakarta,AzamRaharjo,3
@uajy,nonperson,jawa tengah dan yogyakarta,uajy,3
@affandibinhamid,person,sumatera,affandibinhamid,8
@arlan_osa,person,jawa timur,arlan_osa,4
@WilliamYoku,person,maluku dan papua,WilliamYoku,6
@Syahrul_YL,person,sulawesi,Syahrul_YL,7
@PemkotSemarang,nonperson,jawa tengah dan yogyakarta,PemkotSemarang,3
@zaada92,person,jawa timur,zaada92,4
@kemalpalevi,person,jabodetabek,kemalpalevi,1
@UinWSofficial,nonperson,jawa tengah dan yogyakarta,UinWSofficial,3
@Univ_Bengkulu,nonperson,sumatera,Univ_Bengkulu,8
@Sengsar83885990,person,maluku dan papua,Sengsar83885990,6
@MNCTrijayaJogja,nonperson,jawa tengah dan yogyakarta,MNCTrijayaJogja,3
@amalmsc,person,jawa timur,amalmsc,4
@wita_desandri,person,jabodetabek,wita_desandri,1
@StandUpPTK,nonperson,kalimantan,StandUpPTK,5
@Arie_Kriting,person,sulawesi,Arie_Kriting,7
@Mulalt_,person,maluku dan papua,Mulalt_,6
@BBahasaSulut,nonperson,sulawesi,BBahasaSulut,7
@infoPontianak,nonperson,kalimantan,infoPontianak,5
@azizulhanifah16,person,jawa timur,azizulhanifah16,4
@ficofachriza_,person,jabodetabek,ficofachriza_,1
@EdenKutaBali,nonperson,bali dan nusa tenggara,EdenKutaBali,0
@PiusKogoya19,person,maluku dan papua,PiusKogoya19,6
@PemkabBadung,nonperson,bali dan nusa tenggara,PemkabBadung,0
@Ardan__,person,jawa tengah dan yogyakarta,Ardan__,3
@madeandi,person,jawa tengah dan yogyakarta,madeandi,3
@fjrsaif_,person,kalimantan,fjrsaif_,5
@AgustinCahyani,person,jawa timur,AgustinCahyani,4
@why_ngsh,person,jawa tengah dan yogyakarta,why_ngsh,3
@almaaduuriy,person,jawa timur,almaaduuriy,4
@Madrid_IndoPWT,nonperson,jawa tengah dan yogyakarta,Madrid_IndoPWT,3
@BeritaPapua,nonperson,maluku dan papua,BeritaPapua,6
@Ndayatur,person,jawa timur,Ndayatur,4
@aryosantetuko,person,jawa barat dan banten,aryosantetuko,2
@ldfebui,person,jabodetabek,ldfebui,1
@humasbna,nonperson,sumatera,humasbna,8
@ThePapandayan,nonperson,jawa barat dan banten,ThePapandayan,2
@1001malamdotcom,nonperson,jawa timur,1001malamdotcom,4
@agus_salilm,person,kalimantan,agus_salilm,5
@BeritaMks,nonperson,sulawesi,BeritaMks,7
@Fazabungaz,person,kalimantan,Fazabungaz,5
@BalaiBhs_Sumbar,nonperson,sumatera,BalaiBhs_Sumbar,8
@Andhy_We,person,sumatera,Andhy_We,8
@kominfopapua,nonperson,maluku dan papua,kominfopapua,6
@teaterdipoundip,nonperson,jawa tengah dan yogyakarta,teaterdipoundip,3
@humaspoldajbr,nonperson,jawa barat dan banten,humaspoldajbr,2
@Andrianinsr,person,sumatera,Andrianinsr,8
@MNCBandung,nonperson,jawa barat dan banten,MNCBandung,2
@aliyarajasa,person,jawa barat dan banten,aliyarajasa,2
@abifajri1453,person,jawa barat dan banten,abifajri1453,2
@rsudmargono,nonperson,jawa tengah dan yogyakarta,rsudmargono,3
@Swamat28,person,kalimantan,Swamat28,5
@MuseumMACAN,nonperson,jabodetabek,MuseumMACAN,1
@Viking_Papua,nonperson,maluku dan papua,Viking_Papua,6
@bpptik,nonperson,jawa barat dan banten,bpptik,2
