username,isaPerson,userLocation,screen_name,user.screen_name,Lvalue
@infobdg,nonperson,jawa barat dan banten,infobdg,infobdg,2
@DPR_RI,nonperson,jabodetabek,DPR_RI,DPR_RI,1
@BeritaKaltim,nonperson,kalimantan,BeritaKaltim,BeritaKaltim,5
@aim_ranti,person,sumatera,aim_ranti,aim_ranti,8
@AgussumantriS,person,sumatera,AgussumantriS,AgussumantriS,8
@esoensamid,person,jawa tengah dan yogyakarta,esoensamid,esoensamid,3
@diresett,person,jawa timur,diresett,diresett,4
@novianto_eko,person,jawa tengah dan yogyakarta,novianto_eko,novianto_eko,3
@nblindonesia,nonperson,jabodetabek,nblindonesia,nblindonesia,1
@e100ss,nonperson,jawa timur,e100ss,e100ss,4
@anggunasm,person,jawa timur,anggunasm,anggunasm,4
@BEM_Poltek_Aceh,nonperson,sumatera,BEM_Poltek_Aceh,BEM_Poltek_Aceh,8
@g_wanimbo,person,maluku dan papua,g_wanimbo,g_wanimbo,6
@selaparangtv,nonperson,bali dan nusa tenggara,selaparangtv,selaparangtv,0
@ficofachriza_,person,jabodetabek,ficofachriza_,ficofachriza_,1
@jogja_jfrc,nonperson,jawa tengah dan yogyakarta,jogja_jfrc,jogja_jfrc,3
@AndreasNoak,person,bali dan nusa tenggara,AndreasNoak,AndreasNoak,0
@AngginaYuni,person,jawa barat dan banten,AngginaYuni,AngginaYuni,2
@IM3Jabar,nonperson,jawa barat dan banten,IM3Jabar,IM3Jabar,2
@AnjasChambank,person,sulawesi,AnjasChambank,AnjasChambank,7
@txtdrmasdusun,person,jawa tengah dan yogyakarta,txtdrmasdusun,txtdrmasdusun,3
@MayongFirdaus,person,jawa barat dan banten,MayongFirdaus,MayongFirdaus,2
@MalukuBaronda,nonperson,maluku dan papua,MalukuBaronda,MalukuBaronda,6
@bpptik,nonperson,jawa barat dan banten,bpptik,bpptik,2
@Yudhapraditya46,person,jawa tengah dan yogyakarta,Yudhapraditya46,Yudhapraditya46,3
@DediMetrawan1,person,bali dan nusa tenggara,DediMetrawan1,DediMetrawan1,0
@GlennFredly,person,jabodetabek,GlennFredly,GlennFredly,1
@walhisumut,nonperson,sumatera,walhisumut,walhisumut,8
@antoboleng_,person,bali dan nusa tenggara,antoboleng_,antoboleng_,0
@anitaamerliaa,person,jawa timur,anitaamerliaa,anitaamerliaa,4
@fauzanalrasyid,person,jabodetabek,fauzanalrasyid,fauzanalrasyid,1
@Naufal_N23,person,jawa tengah dan yogyakarta,Naufal_N23,Naufal_N23,3
@rickysadewa_895,person,kalimantan,rickysadewa_895,rickysadewa_895,5
@BEM_Udayana,nonperson,bali dan nusa tenggara,BEM_Udayana,BEM_Udayana,0
@kabaPADANG,nonperson,sumatera,kabaPADANG,kabaPADANG,8
@KempinskiJKT,nonperson,jabodetabek,KempinskiJKT,KempinskiJKT,1
@obsbosscha,nonperson,jawa barat dan banten,obsbosscha,obsbosscha,2
@PantauPapua,person,maluku dan papua,PantauPapua,PantauPapua,6
@ombudsmanmalut,nonperson,maluku dan papua,ombudsmanmalut,ombudsmanmalut,6
@KecMakassar,nonperson,sulawesi,KecMakassar,KecMakassar,7
@bptp_malut,nonperson,maluku dan papua,bptp_malut,bptp_malut,6
@tfsurabaya,nonperson,jawa timur,tfsurabaya,tfsurabaya,4
@MalukuOnlineCJ,nonperson,maluku dan papua,MalukuOnlineCJ,MalukuOnlineCJ,6
@kanimlabuanbajo,nonperson,bali dan nusa tenggara,kanimlabuanbajo,kanimlabuanbajo,0
@altaresh__,person,jawa barat dan banten,altaresh__,altaresh__,2
@Harlyfer,person,maluku dan papua,Harlyfer,Harlyfer,6
@PERSIPURA_,nonperson,maluku dan papua,PERSIPURA_,PERSIPURA_,6
@dinkesbali,nonperson,bali dan nusa tenggara,dinkesbali,dinkesbali,0
@nisaturns,person,jawa barat dan banten,nisaturns,nisaturns,2
@ruslanwiryadi,person,bali dan nusa tenggara,ruslanwiryadi,ruslanwiryadi,0
@MediaPapua1,nonperson,maluku dan papua,MediaPapua1,MediaPapua1,6
@FreeWestPapua,nonperson,maluku dan papua,FreeWestPapua,FreeWestPapua,6
@BEMUnhas,nonperson,sulawesi,BEMUnhas,BEMUnhas,7
@balibirdpark,nonperson,bali dan nusa tenggara,balibirdpark,balibirdpark,0
@Swissbel_Jpr,nonperson,maluku dan papua,Swissbel_Jpr,Swissbel_Jpr,6
@mrlogix,person,jabodetabek,mrlogix,mrlogix,1
@jointsugm,nonperson,jawa tengah dan yogyakarta,jointsugm,jointsugm,3
@Bahasa_Sultra,nonperson,sulawesi,Bahasa_Sultra,Bahasa_Sultra,7
@agungradityasan,person,bali dan nusa tenggara,agungradityasan,agungradityasan,0
@CkdHumas,nonperson,jawa barat dan banten,CkdHumas,CkdHumas,2
@kudetabali,nonperson,bali dan nusa tenggara,kudetabali,kudetabali,0
@rs_persahabatan,nonperson,jabodetabek,rs_persahabatan,rs_persahabatan,1
@balaibahasa_su,nonperson,sumatera,balaibahasa_su,balaibahasa_su,8
@boedybios,person,jawa barat dan banten,boedybios,boedybios,2
@angga_fzn,person,jabodetabek,angga_fzn,angga_fzn,1
@entez_,person,sulawesi,entez_,entez_,7
@Info_Jayapura,nonperson,maluku dan papua,Info_Jayapura,Info_Jayapura,6
@anismatta,person,sulawesi,anismatta,anismatta,7
@nicsap,person,jabodetabek,nicsap,nicsap,1
@akhirul_rmd,person,sumatera,akhirul_rmd,akhirul_rmd,8
@wikkend,person,bali dan nusa tenggara,wikkend,wikkend,0
@jawafess,nonperson,jawa tengah dan yogyakarta,jawafess,jawafess,3
@DJPb_Kaltim,nonperson,kalimantan,DJPb_Kaltim,DJPb_Kaltim,5
@DokterHafid,person,jawa timur,DokterHafid,DokterHafid,4
@HSBC_ID,nonperson,jabodetabek,HSBC_ID,HSBC_ID,1
@nixon_civil,person,bali dan nusa tenggara,nixon_civil,nixon_civil,0
@Persitajuara,nonperson,jabodetabek,Persitajuara,Persitajuara,1
@paudgto,nonperson,sulawesi,paudgto,paudgto,7
@alfunmart,person,jawa barat dan banten,alfunmart,alfunmart,2
@ganjarpranowo,person,jawa tengah dan yogyakarta,ganjarpranowo,ganjarpranowo,3
@PMIBanjarmasin,nonperson,kalimantan,PMIBanjarmasin,PMIBanjarmasin,5
@Mbonnkoclok,person,jawa timur,Mbonnkoclok,Mbonnkoclok,4
@andre_rosiade,person,sumatera,andre_rosiade,andre_rosiade,8
@humasjabar,nonperson,jawa barat dan banten,humasjabar,humasjabar,2
@pencolaja,person,jawa timur,pencolaja,pencolaja,4
@BeritaJabarku,nonperson,jawa barat dan banten,BeritaJabarku,BeritaJabarku,2
@adninmarwah,person,jawa barat dan banten,adninmarwah,adninmarwah,2
@berita_papuaID,nonperson,maluku dan papua,berita_papuaID,berita_papuaID,6
@mks_fess,nonperson,sulawesi,mks_fess,mks_fess,7
@D_kriuk,nonperson,jabodetabek,D_kriuk,D_kriuk,1
@amrie81587337,person,kalimantan,amrie81587337,amrie81587337,5
@txtsamarinda,nonperson,kalimantan,txtsamarinda,txtsamarinda,5
@AndyWibowo_,person,bali dan nusa tenggara,AndyWibowo_,AndyWibowo_,0
@UdayanaUniv,nonperson,bali dan nusa tenggara,UdayanaUniv,UdayanaUniv,0
@hammam_riza,person,jabodetabek,hammam_riza,hammam_riza,1
@azwar_rayearth,person,kalimantan,azwar_rayearth,azwar_rayearth,5
@SumatranTigerID,nonperson,sumatera,SumatranTigerID,SumatranTigerID,8
@SmartFM_Manado,nonperson,sulawesi,SmartFM_Manado,SmartFM_Manado,7
@ando_ahmad,person,sumatera,ando_ahmad,ando_ahmad,8
@Andhy_We,person,sumatera,Andhy_We,Andhy_We,8
@jelajahblitar,nonperson,jawa timur,jelajahblitar,jelajahblitar,4
@infoLotim,nonperson,bali dan nusa tenggara,infoLotim,infoLotim,0
@pumpyumpiumkinn,person,kalimantan,pumpyumpiumkinn,pumpyumpiumkinn,5
@anissasu_,person,jawa timur,anissasu_,anissasu_,4
@OctoS9,person,maluku dan papua,OctoS9,OctoS9,6
@antvbola,nonperson,jabodetabek,antvbola,antvbola,1
@unsri,nonperson,sumatera,unsri,unsri,8
@kawankoding,nonperson,jawa timur,kawankoding,kawankoding,4
@infoMKS_,nonperson,sulawesi,infoMKS_,infoMKS_,7
@StandupindoBali,nonperson,bali dan nusa tenggara,StandupindoBali,StandupindoBali,0
@PSBaritoPutera,nonperson,kalimantan,PSBaritoPutera,PSBaritoPutera,5
@alhiee,person,bali dan nusa tenggara,alhiee,alhiee,0
@dtlpoldajateng,nonperson,jawa tengah dan yogyakarta,dtlpoldajateng,dtlpoldajateng,3
@GoBatuMlg,nonperson,jawa timur,GoBatuMlg,GoBatuMlg,4
@pesonaid_travel,nonperson,jabodetabek,pesonaid_travel,pesonaid_travel,1
@Lantas_RestaBwi,nonperson,jawa timur,Lantas_RestaBwi,Lantas_RestaBwi,4
@perangbatinn,person,jawa tengah dan yogyakarta,perangbatinn,perangbatinn,3
@Daeng_Info,nonperson,sulawesi,Daeng_Info,Daeng_Info,7
@nuratna_,person,bali dan nusa tenggara,nuratna_,nuratna_,0
@feb_ugm,nonperson,jawa tengah dan yogyakarta,feb_ugm,feb_ugm,3
@moon9rock,person,bali dan nusa tenggara,moon9rock,moon9rock,0
@umaymah_azmi,person,jawa barat dan banten,umaymah_azmi,umaymah_azmi,2
@EastJavaTourism,nonperson,jawa timur,EastJavaTourism,EastJavaTourism,4
@rabaddruttamam,person,jawa timur,rabaddruttamam,rabaddruttamam,4
@PolrestabesSby,nonperson,jawa timur,PolrestabesSby,PolrestabesSby,4
@noviaanggraini5,person,sumatera,noviaanggraini5,noviaanggraini5,8
@ainssdyh,person,jawa tengah dan yogyakarta,ainssdyh,ainssdyh,3
@dinsosjateng,nonperson,jawa tengah dan yogyakarta,dinsosjateng,dinsosjateng,3
@Taekwondo_UNDIP,nonperson,jawa tengah dan yogyakarta,Taekwondo_UNDIP,Taekwondo_UNDIP,3
@1001malamdotcom,nonperson,jawa timur,1001malamdotcom,1001malamdotcom,4
@SocMedSUMBAR,nonperson,sumatera,SocMedSUMBAR,SocMedSUMBAR,8
@umarahab,person,jawa barat dan banten,umarahab,umarahab,2
@FiersaBesari,person,jawa barat dan banten,FiersaBesari,FiersaBesari,2
@andiagungka,person,jawa tengah dan yogyakarta,andiagungka,andiagungka,3
@_andrikurniawan,person,jabodetabek,_andrikurniawan,_andrikurniawan,1
@15natashawilona,person,jabodetabek,15natashawilona,15natashawilona,1
@InfoGOBJM,nonperson,kalimantan,InfoGOBJM,InfoGOBJM,5
@BBTA3_BPPT,nonperson,jawa barat dan banten,BBTA3_BPPT,BBTA3_BPPT,2
@bank_jatim,nonperson,jawa timur,bank_jatim,bank_jatim,4
@grandhisfthr,person,jawa tengah dan yogyakarta,grandhisfthr,grandhisfthr,3
@teater_kutub,nonperson,jawa timur,teater_kutub,teater_kutub,4
@DimasAHongBulat,person,jawa barat dan banten,DimasAHongBulat,DimasAHongBulat,2
@ArsyaShabrina,person,sumatera,ArsyaShabrina,ArsyaShabrina,8
@polresjogja,nonperson,jawa tengah dan yogyakarta,polresjogja,polresjogja,3
@carbonds_CRI,nonperson,jabodetabek,carbonds_CRI,carbonds_CRI,1
@AlissaWahid,person,jawa timur,AlissaWahid,AlissaWahid,4
@DBLWestJavaBDG,nonperson,jawa barat dan banten,DBLWestJavaBDG,DBLWestJavaBDG,2
@paudikmasultra,nonperson,sulawesi,paudikmasultra,paudikmasultra,7
@Nurazmip98,person,jawa tengah dan yogyakarta,Nurazmip98,Nurazmip98,3
@kratonjogja,nonperson,jawa tengah dan yogyakarta,kratonjogja,kratonjogja,3
@myXL_Sulawesi,nonperson,sulawesi,myXL_Sulawesi,myXL_Sulawesi,7
@RTMCPoldaNTB,nonperson,bali dan nusa tenggara,RTMCPoldaNTB,RTMCPoldaNTB,0
@IsranOfficial,person,kalimantan,IsranOfficial,IsranOfficial,5
@JakartaEE,nonperson,jabodetabek,JakartaEE,JakartaEE,1
@univ_riau,nonperson,sumatera,univ_riau,univ_riau,8
@EmilDardak,nonperson,jawa timur,EmilDardak,EmilDardak,4
@azizulhanifah16,person,jawa timur,azizulhanifah16,azizulhanifah16,4
@aragens,person,kalimantan,aragens,aragens,5
@MuseumAngkut,nonperson,jawa timur,MuseumAngkut,MuseumAngkut,4
@hadyna57,person,jawa tengah dan yogyakarta,hadyna57,hadyna57,3
@Diskes_KoMal,nonperson,jawa timur,Diskes_KoMal,Diskes_KoMal,4
@KantorBahasaLpg,nonperson,sumatera,KantorBahasaLpg,KantorBahasaLpg,8
@bpssumsel,nonperson,sumatera,bpssumsel,bpssumsel,8
@amalmsc,person,jawa timur,amalmsc,amalmsc,4
@PMIKabpkl,nonperson,jawa tengah dan yogyakarta,PMIKabpkl,PMIKabpkl,3
@adoen86,person,sumatera,adoen86,adoen86,8
@nita_nit24,person,maluku dan papua,nita_nit24,nita_nit24,6
@actbare_,person,jawa timur,actbare_,actbare_,4
@IbnuSina,person,kalimantan,IbnuSina,IbnuSina,5
@GadgetYogya,nonperson,jawa tengah dan yogyakarta,GadgetYogya,GadgetYogya,3
@pr_palembang,nonperson,sumatera,pr_palembang,pr_palembang,8
@fajarnugros,person,jabodetabek,fajarnugros,fajarnugros,1
@BBahasaSulut,nonperson,sulawesi,BBahasaSulut,BBahasaSulut,7
@Sulawesitacom,nonperson,sulawesi,Sulawesitacom,Sulawesitacom,7
@radar_karawang,nonperson,jawa barat dan banten,radar_karawang,radar_karawang,2
@Annamirg,person,sumatera,Annamirg,Annamirg,8
@arkanprdn,person,jawa tengah dan yogyakarta,arkanprdn,arkanprdn,3
@MI_sezPALU,nonperson,sulawesi,MI_sezPALU,MI_sezPALU,7
@tanjungputingNP,nonperson,kalimantan,tanjungputingNP,tanjungputingNP,5
@kumham_kalsel,nonperson,kalimantan,kumham_kalsel,kumham_kalsel,5
@KediriRiderClub,nonperson,jawa timur,KediriRiderClub,KediriRiderClub,4
@kpubandungbarat,nonperson,jawa barat dan banten,kpubandungbarat,kpubandungbarat,2
@Tribun_Maluku,nonperson,maluku dan papua,Tribun_Maluku,Tribun_Maluku,6
@ahmdlna,person,kalimantan,ahmdlna,ahmdlna,5
@salinkoordinasi,nonperson,jawa barat dan banten,salinkoordinasi,salinkoordinasi,2
@anwarabdulrojak,person,jawa barat dan banten,anwarabdulrojak,anwarabdulrojak,2
@nurulbdryh,person,sumatera,nurulbdryh,nurulbdryh,8
@Once_JawaTimur,nonperson,jawa timur,Once_JawaTimur,Once_JawaTimur,4
@__kucingbetina,person,jawa barat dan banten,__kucingbetina,__kucingbetina,2
@kumham_kalbar,nonperson,kalimantan,kumham_kalbar,kumham_kalbar,5
@AndiKossay1,person,maluku dan papua,AndiKossay1,AndiKossay1,6
@Valdinho74,person,maluku dan papua,Valdinho74,Valdinho74,6
@SenjaFrima,person,kalimantan,SenjaFrima,SenjaFrima,5
@beachwalk_bali,nonperson,bali dan nusa tenggara,beachwalk_bali,beachwalk_bali,0
@KompasTravel,nonperson,jabodetabek,KompasTravel,KompasTravel,1
@papuanews,nonperson,maluku dan papua,papuanews,papuanews,6
@blogdokter,nonperson,bali dan nusa tenggara,blogdokter,blogdokter,0
@usuofficial,nonperson,sumatera,usuofficial,usuofficial,8
@lpmpkepri,nonperson,sumatera,lpmpkepri,lpmpkepri,8
@HendRadianceBJM,nonperson,kalimantan,HendRadianceBJM,HendRadianceBJM,5
@Pusfatja_LAPAN,nonperson,jabodetabek,Pusfatja_LAPAN,Pusfatja_LAPAN,1
@ariswaah,person,sumatera,ariswaah,ariswaah,8
@primus_naiaki,person,bali dan nusa tenggara,primus_naiaki,primus_naiaki,0
@fachmiza,person,jawa tengah dan yogyakarta,fachmiza,fachmiza,3
@KemaliciousBali,nonperson,bali dan nusa tenggara,KemaliciousBali,KemaliciousBali,0
@Deddy_Mizwar_,person,jabodetabek,Deddy_Mizwar_,Deddy_Mizwar_,1
@_dwinand,person,jabodetabek,_dwinand,_dwinand,1
@infolistrikdjty,nonperson,jawa tengah dan yogyakarta,infolistrikdjty,infolistrikdjty,3
@madeandi,person,jawa tengah dan yogyakarta,madeandi,madeandi,3
@BEMUNS,nonperson,jawa tengah dan yogyakarta,BEMUNS,BEMUNS,3
@Penuhcurhatan,person,bali dan nusa tenggara,Penuhcurhatan,Penuhcurhatan,0
@pajakpontibarat,nonperson,kalimantan,pajakpontibarat,pajakpontibarat,5
@yogyandroid,nonperson,jawa tengah dan yogyakarta,yogyandroid,yogyandroid,3
@Ardan__,person,jawa tengah dan yogyakarta,Ardan__,Ardan__,3
@AkbarRafs,person,sumatera,AkbarRafs,AkbarRafs,8
@siman_sudartawa,person,bali dan nusa tenggara,siman_sudartawa,siman_sudartawa,0
@RistekCSUI,nonperson,jabodetabek,RistekCSUI,RistekCSUI,1
@ildanrfdilh599,person,sulawesi,ildanrfdilh599,ildanrfdilh599,7
@kiki_pia,person,sulawesi,kiki_pia,kiki_pia,7
@rinaldysantoso,person,sulawesi,rinaldysantoso,rinaldysantoso,7
@kanwilbpnsulsel,nonperson,sulawesi,kanwilbpnsulsel,kanwilbpnsulsel,7
@Awanthehow,person,jawa barat dan banten,Awanthehow,Awanthehow,2
@nurdintmpubolon,person,sumatera,nurdintmpubolon,nurdintmpubolon,8
@BEMUndip_,nonperson,jawa tengah dan yogyakarta,BEMUndip_,BEMUndip_,3
