username,isaPerson,userLocation,screen_name,userLocationCode,Lvalue
@MitraKukar,nonperson,kalimantan,MitraKukar,KA,5
@FreePapua,nonperson,maluku dan papua,FreePapua,ML&PP,6
@nugraha23__,person,sumatera,nugraha23__,SM,8
@bin_saidna,person,maluku dan papua,bin_saidna,ML&PP,6
@Annamirg,person,sumatera,Annamirg,SM,8
@HaidarMusyafa,person,jawa tengah dan yogyakarta,HaidarMusyafa,JT&YO,3
@DBLWestJavaBDG,nonperson,jawa barat dan banten,DBLWestJavaBDG,JB&BT,2
@KantorBhsMalut,nonperson,maluku dan papua,KantorBhsMalut,ML&PP,6
@Blogger_Cirebon,nonperson,jawa barat dan banten,Blogger_Cirebon,JB&BT,2
@SapawargaSby,nonperson,jawa timur,SapawargaSby,JI,4
@ravacanafilms,nonperson,jawa tengah dan yogyakarta,ravacanafilms,JT&YO,3
@bemfhunpatti,nonperson,maluku dan papua,bemfhunpatti,ML&PP,6
@AgunOnly,person,kalimantan,AgunOnly,KA,5
@Radhinalindra,person,jawa barat dan banten,Radhinalindra,JB&BT,2
@BEMUNS,nonperson,jawa tengah dan yogyakarta,BEMUNS,JT&YO,3
@andrinof_a_ch,person,sumatera,andrinof_a_ch,SM,8
@kecsmgutara,nonperson,jawa tengah dan yogyakarta,kecsmgutara,JT&YO,3
@PandaMadu_05,person,jawa barat dan banten,PandaMadu_05,JB&BT,2
@UnethSahureka,person,sulawesi,UnethSahureka,SL,7
@naufalirfandi,person,jawa tengah dan yogyakarta,naufalirfandi,JT&YO,3
@indonesiana,nonperson,jabodetabek,indonesiana,JBD,1
@pussmeaw,person,jawa timur,pussmeaw,JI,4
@bemkmunand,nonperson,sumatera,bemkmunand,SM,8
@abdulazizlufti8,person,jawa barat dan banten,abdulazizlufti8,JB&BT,2
@WilliamYoku,person,maluku dan papua,WilliamYoku,ML&PP,6
@Chalil_az,person,sumatera,Chalil_az,SM,8
@faizsadad_,person,jawa barat dan banten,faizsadad_,JB&BT,2
@wijangsha,person,jawa tengah dan yogyakarta,wijangsha,JT&YO,3
@berita_papuaID,nonperson,maluku dan papua,berita_papuaID,ML&PP,6
@Vikingkalsell,nonperson,kalimantan,Vikingkalsell,KA,5
@atnisay,person,bali dan nusa tenggara,atnisay,NU,0
@Harlyfer,person,maluku dan papua,Harlyfer,ML&PP,6
@tiffany_liuu,person,jawa timur,tiffany_liuu,JI,4
@loproadventures,nonperson,jawa timur,loproadventures,JI,4
@pmi_diy,nonperson,jawa tengah dan yogyakarta,pmi_diy,JT&YO,3
@Awanthehow,person,jawa barat dan banten,Awanthehow,JB&BT,2
@angga_fzn,person,jabodetabek,angga_fzn,JBD,1
@BEM_Poltek_Aceh,nonperson,sumatera,BEM_Poltek_Aceh,SM,8
@MisbahKhudin_,person,jawa tengah dan yogyakarta,MisbahKhudin_,JT&YO,3
@lpradnyawanto,person,bali dan nusa tenggara,lpradnyawanto,NU,0
@ilhamituiam,person,kalimantan,ilhamituiam,KA,5
@infombg,nonperson,bali dan nusa tenggara,infombg,NU,0
@ganjarpranowo,person,jawa tengah dan yogyakarta,ganjarpranowo,JT&YO,3
@MalukuHumRights,nonperson,maluku dan papua,MalukuHumRights,ML&PP,6
@AdibAje_,person,jawa barat dan banten,AdibAje_,JB&BT,2
@A_ChristyJKT48,person,jabodetabek,A_ChristyJKT48,JBD,1
@arlan_osa,person,jawa timur,arlan_osa,JI,4
@anissasu_,person,jawa timur,anissasu_,JI,4
@AstonMakassar,nonperson,sulawesi,AstonMakassar,SL,7
@USConGenSby,nonperson,jawa timur,USConGenSby,JI,4
@ESDMJateng,nonperson,jawa tengah dan yogyakarta,ESDMJateng,JT&YO,3
@txtdrmasdusun,person,jawa tengah dan yogyakarta,txtdrmasdusun,JT&YO,3
@KonJenBali,person,bali dan nusa tenggara,KonJenBali,NU,0
@bkpd_jabar,nonperson,jawa barat dan banten,bkpd_jabar,JB&BT,2
@nyimaswulandari,person,sumatera,nyimaswulandari,SM,8
@ManojPunjabiMD,person,jabodetabek,ManojPunjabiMD,JBD,1
@dr_Aldi18,person,jawa timur,dr_Aldi18,JI,4
@satryadede,person,bali dan nusa tenggara,satryadede,NU,0
@fshddq,person,jawa barat dan banten,fshddq,JB&BT,2
@ahmadirfaan_,person,jabodetabek,ahmadirfaan_,JBD,1
@A_DeyJKT48,person,jabodetabek,A_DeyJKT48,JBD,1
@achmadzaky,person,jawa tengah dan yogyakarta,achmadzaky,JT&YO,3
@BpbdkabTuban,nonperson,jawa timur,BpbdkabTuban,JI,4
@tanjungputingNP,nonperson,kalimantan,tanjungputingNP,KA,5
@diskominfojabar,nonperson,jawa barat dan banten,diskominfojabar,JB&BT,2
@pabika_leka45,person,maluku dan papua,pabika_leka45,ML&PP,6
@zubair_buhang,person,sulawesi,zubair_buhang,SL,7
@MNCTrijayaJogja,nonperson,jawa tengah dan yogyakarta,MNCTrijayaJogja,JT&YO,3
@kumham_kalbar,nonperson,kalimantan,kumham_kalbar,KA,5
@Swamat28,person,kalimantan,Swamat28,KA,5
@KABUPATENFAKFAK,nonperson,maluku dan papua,KABUPATENFAKFAK,ML&PP,6
@UnikaAtmaJaya,nonperson,jabodetabek,UnikaAtmaJaya,JBD,1
@PERSIPURA_,nonperson,maluku dan papua,PERSIPURA_,ML&PP,6
@myXL_Sumatera,nonperson,sumatera,myXL_Sumatera,SM,8
@smashblastJAPUR,nonperson,maluku dan papua,smashblastJAPUR,ML&PP,6
@affandibinhamid,person,sumatera,affandibinhamid,SM,8
@PSBaritoPutera,nonperson,kalimantan,PSBaritoPutera,KA,5
@IsranOfficial,person,kalimantan,IsranOfficial,KA,5
@beritajatimcom,nonperson,jawa timur,beritajatimcom,JI,4
@DinkominfoBlora,nonperson,jawa tengah dan yogyakarta,DinkominfoBlora,JT&YO,3
@radioMartapura,nonperson,kalimantan,radioMartapura,KA,5
@MalukuSatuMedia,nonperson,maluku dan papua,MalukuSatuMedia,ML&PP,6
@dpc_pdipmks,nonperson,sulawesi,dpc_pdipmks,SL,7
@altaresh__,person,jawa barat dan banten,altaresh__,JB&BT,2
@1dg4fux,person,jabodetabek,1dg4fux,JBD,1
@tvrijateng,nonperson,jawa tengah dan yogyakarta,tvrijateng,JT&YO,3
@kiko_henuk,person,bali dan nusa tenggara,kiko_henuk,NU,0
@Andhy_We,person,sumatera,Andhy_We,SM,8
@acara_bali,nonperson,bali dan nusa tenggara,acara_bali,NU,0
@beckhamputran,person,jawa barat dan banten,beckhamputran,JB&BT,2
@supersyahrir,person,sulawesi,supersyahrir,SL,7
@kiki_pia,person,sulawesi,kiki_pia,SL,7
@ZakyZakOriginal,person,bali dan nusa tenggara,ZakyZakOriginal,NU,0
@iyoaden,person,jabodetabek,iyoaden,JBD,1
@balaibahasa_su,nonperson,sumatera,balaibahasa_su,SM,8
@FSBali,nonperson,bali dan nusa tenggara,FSBali,NU,0
@emiliaNV,person,jabodetabek,emiliaNV,JBD,1
@Gamal_Albinsaid,person,jawa timur,Gamal_Albinsaid,JI,4
@RescueJtm,nonperson,jawa timur,RescueJtm,JI,4
@ananta_aj,person,kalimantan,ananta_aj,KA,5
@emansulaemannas,person,jabodetabek,emansulaemannas,JBD,1
@srirahayukk,person,sulawesi,srirahayukk,SL,7
@akhdaafif,person,jawa tengah dan yogyakarta,akhdaafif,JT&YO,3
@puslitkoka_id,nonperson,jabodetabek,puslitkoka_id,JBD,1
@angklungMuhibah,nonperson,jawa barat dan banten,angklungMuhibah,JB&BT,2
@ManadoKota,nonperson,sulawesi,ManadoKota,SL,7
@ArnoldBelau,person,maluku dan papua,ArnoldBelau,ML&PP,6
@kokoramadanto,person,kalimantan,kokoramadanto,KA,5
@PersatuFC,nonperson,jawa timur,PersatuFC,JI,4
@CityHype_Bali,nonperson,bali dan nusa tenggara,CityHype_Bali,NU,0
@Agus_787,person,jawa timur,Agus_787,JI,4
@KK_MalukuUtara,nonperson,maluku dan papua,KK_MalukuUtara,ML&PP,6
@BerandaJogja,nonperson,jawa tengah dan yogyakarta,BerandaJogja,JT&YO,3
@GenpiLabuanBajo,nonperson,bali dan nusa tenggara,GenpiLabuanBajo,NU,0
@naddiza,person,jawa tengah dan yogyakarta,naddiza,JT&YO,3
@pmijabar,nonperson,jawa barat dan banten,pmijabar,JB&BT,2
@levazya,person,jawa timur,levazya,JI,4
@Pusfatja_LAPAN,nonperson,jabodetabek,Pusfatja_LAPAN,JBD,1
@afifnurc,person,jawa barat dan banten,afifnurc,JB&BT,2
@StandUpGarut,nonperson,jawa barat dan banten,StandUpGarut,JB&BT,2
@andre_rosiade,person,sumatera,andre_rosiade,SM,8
@JogjaSoftware,nonperson,jawa tengah dan yogyakarta,JogjaSoftware,JT&YO,3
@JKT48_Jayapura,nonperson,maluku dan papua,JKT48_Jayapura,ML&PP,6
@naif_primus,person,bali dan nusa tenggara,naif_primus,NU,0
@fosilkaliber,nonperson,kalimantan,fosilkaliber,KA,5
@obsbosscha,nonperson,jawa barat dan banten,obsbosscha,JB&BT,2
@netijenbali,nonperson,bali dan nusa tenggara,netijenbali,NU,0
@DataScienceIndo,nonperson,jabodetabek,DataScienceIndo,JBD,1
@BEMUnhas,nonperson,sulawesi,BEMUnhas,SL,7
@medantalk,nonperson,sumatera,medantalk,SM,8
@juneeykaa,person,jawa timur,juneeykaa,JI,4
@Adhiewns,person,jawa barat dan banten,Adhiewns,JB&BT,2
@abulampanah,person,sumatera,abulampanah,SM,8
@KM_ITB,nonperson,jawa barat dan banten,KM_ITB,JB&BT,2
@jsatyawira,person,bali dan nusa tenggara,jsatyawira,NU,0
@baliairports,nonperson,bali dan nusa tenggara,baliairports,NU,0
@hendrarprihadi,person,jawa tengah dan yogyakarta,hendrarprihadi,JT&YO,3
@dishut_jatim,nonperson,jawa timur,dishut_jatim,JI,4
@denpasarviral_,nonperson,bali dan nusa tenggara,denpasarviral_,NU,0
@Alivia_Nov,person,jawa barat dan banten,Alivia_Nov,JB&BT,2
@aliyarajasa,person,jawa barat dan banten,aliyarajasa,JB&BT,2
@azizulhanifah16,person,jawa timur,azizulhanifah16,JI,4
@AlfiRizkyR,person,jawa timur,AlfiRizkyR,JI,4
@AhmadWigo,person,sumatera,AhmadWigo,SM,8
@uajy,nonperson,jawa tengah dan yogyakarta,uajy,JT&YO,3
@AgussumantriS,person,sumatera,AgussumantriS,SM,8
@astondenpasarID,nonperson,bali dan nusa tenggara,astondenpasarID,NU,0
@bappedajabar,nonperson,jawa barat dan banten,bappedajabar,JB&BT,2
@persisofficial,nonperson,jawa tengah dan yogyakarta,persisofficial,JT&YO,3
@SabraniBran,person,kalimantan,SabraniBran,KA,5
@ildanrfdilh599,person,sulawesi,ildanrfdilh599,SL,7
@MahasiswaAE,nonperson,jawa timur,MahasiswaAE,JI,4
@MercureSurabaya,nonperson,jawa timur,MercureSurabaya,JI,4
@redlight_wear,nonperson,jabodetabek,redlight_wear,JBD,1
@drpriono1,person,jabodetabek,drpriono1,JBD,1
@bpbdjateng,nonperson,jawa tengah dan yogyakarta,bpbdjateng,JT&YO,3
@a_rief13,person,jabodetabek,a_rief13,JBD,1
@pln_ntt,nonperson,bali dan nusa tenggara,pln_ntt,NU,0
@fjrsaif_,person,kalimantan,fjrsaif_,KA,5
@truthaboutluth,person,jabodetabek,truthaboutluth,JBD,1
@angklungudjo,nonperson,jawa barat dan banten,angklungudjo,JB&BT,2
@salinkoordinasi,nonperson,jawa barat dan banten,salinkoordinasi,JB&BT,2
@madeandi,person,jawa tengah dan yogyakarta,madeandi,JT&YO,3
@balibirdpark,nonperson,bali dan nusa tenggara,balibirdpark,NU,0
@Mulalt_,person,maluku dan papua,Mulalt_,ML&PP,6
@BenyMagal,person,maluku dan papua,BenyMagal,ML&PP,6
@PantauPapua,person,maluku dan papua,PantauPapua,ML&PP,6
@alvinlie21,person,jawa tengah dan yogyakarta,alvinlie21,JT&YO,3
@walhi_kalteng,nonperson,kalimantan,walhi_kalteng,KA,5
@bpsprovkalsel,nonperson,kalimantan,bpsprovkalsel,KA,5
@MiFans_Djogja,nonperson,jawa tengah dan yogyakarta,MiFans_Djogja,JT&YO,3
@jointsugm,nonperson,jawa tengah dan yogyakarta,jointsugm,JT&YO,3
@NTT_Update,nonperson,bali dan nusa tenggara,NTT_Update,NU,0
@nblindonesia,nonperson,jabodetabek,nblindonesia,JBD,1
@BorneoSMR,nonperson,kalimantan,BorneoSMR,KA,5
@blfc_id,nonperson,sumatera,blfc_id,SM,8
@nisaturns,person,jawa barat dan banten,nisaturns,JB&BT,2
@fransiscusario,person,jawa timur,fransiscusario,JI,4
@Vaksinboy,person,jawa timur,Vaksinboy,JI,4
@kominfopapua,nonperson,maluku dan papua,kominfopapua,ML&PP,6
@IbnuSina,person,kalimantan,IbnuSina,KA,5
@unpad,nonperson,jawa barat dan banten,unpad,JB&BT,2
@ainssdyh,person,jawa tengah dan yogyakarta,ainssdyh,JT&YO,3
@supritongg,person,jawa tengah dan yogyakarta,supritongg,JT&YO,3
@Lombokitacom,nonperson,bali dan nusa tenggara,Lombokitacom,NU,0
@antoboleng_,person,bali dan nusa tenggara,antoboleng_,NU,0
@Bisnis_Kreatif,nonperson,jawa timur,Bisnis_Kreatif,JI,4
@GusIpul_ID,person,jawa timur,GusIpul_ID,JI,4
@infosurabaya,nonperson,jawa timur,infosurabaya,JI,4
@eurosian2k,person,bali dan nusa tenggara,eurosian2k,NU,0
@LPEMFEBUI,nonperson,jabodetabek,LPEMFEBUI,JBD,1
@NaufalZaky77,person,jawa tengah dan yogyakarta,NaufalZaky77,JT&YO,3
@mohnasihunair,person,jawa timur,mohnasihunair,JI,4
@anasurbaningrum,person,jawa timur,anasurbaningrum,JI,4
@latiefpingsan,person,bali dan nusa tenggara,latiefpingsan,NU,0
@akhyarmose,person,jawa tengah dan yogyakarta,akhyarmose,JT&YO,3
@PolrestabesSby,nonperson,jawa timur,PolrestabesSby,JI,4
@bank_jateng,nonperson,jawa tengah dan yogyakarta,bank_jateng,JT&YO,3
@R_Perkasa,person,sulawesi,R_Perkasa,SL,7
@Puslit_Arkenas,nonperson,jabodetabek,Puslit_Arkenas,JBD,1
@Choirunnv,person,jawa timur,Choirunnv,JI,4
@BB_Kalbar,nonperson,kalimantan,BB_Kalbar,KA,5
@imuni_id,nonperson,jabodetabek,imuni_id,JBD,1
@Idanaza1,person,jawa tengah dan yogyakarta,Idanaza1,JT&YO,3
@KomikGaJelas,nonperson,jabodetabek,KomikGaJelas,JBD,1
@TelUniversity,nonperson,jawa barat dan banten,TelUniversity,JB&BT,2
@PMI_Surabaya,nonperson,jawa timur,PMI_Surabaya,JI,4
@waterbombali,nonperson,bali dan nusa tenggara,waterbombali,NU,0
@arkham1818,person,jawa tengah dan yogyakarta,arkham1818,JT&YO,3
@DJPb_Kaltim,nonperson,kalimantan,DJPb_Kaltim,KA,5
@Tribun_Maluku,nonperson,maluku dan papua,Tribun_Maluku,ML&PP,6
@dapursolia,person,jawa timur,dapursolia,JI,4
@Youthssfm,nonperson,jawa timur,Youthssfm,JI,4
@dharmawankenny,person,jabodetabek,dharmawankenny,JBD,1
@ndari_wae,person,jawa tengah dan yogyakarta,ndari_wae,JT&YO,3
@AgustinCahyani,person,jawa timur,AgustinCahyani,JI,4
@infoSUMSEL,nonperson,sumatera,infoSUMSEL,SM,8
@Taekwondo_UNDIP,nonperson,jawa tengah dan yogyakarta,Taekwondo_UNDIP,JT&YO,3
@buahfresh17,nonperson,jawa tengah dan yogyakarta,buahfresh17,JT&YO,3
@PemprovMaluku,nonperson,maluku dan papua,PemprovMaluku,ML&PP,6
@PemkotSmg,nonperson,jawa tengah dan yogyakarta,PemkotSmg,JT&YO,3
@MaduraUnitedFC,nonperson,jawa timur,MaduraUnitedFC,JI,4
@Riset_Denpasar,nonperson,bali dan nusa tenggara,Riset_Denpasar,NU,0
@kopinusantara_,nonperson,jabodetabek,kopinusantara_,JBD,1
@themuliabali,nonperson,bali dan nusa tenggara,themuliabali,NU,0
@GolkarSulsel,nonperson,sulawesi,GolkarSulsel,SL,7
@GresikUtd,nonperson,jawa timur,GresikUtd,JI,4
@EM_UBOfficial,nonperson,jawa timur,EM_UBOfficial,JI,4
@zizaonfire,person,sumatera,zizaonfire,SM,8
@pertaminaborneo,nonperson,kalimantan,pertaminaborneo,KA,5
@sadtanick,person,sumatera,sadtanick,SM,8
@kominfocianjur,nonperson,jawa barat dan banten,kominfocianjur,JB&BT,2
@BisnisId_Malang,nonperson,jawa timur,BisnisId_Malang,JI,4
@AgusYudhoyono,person,jawa barat dan banten,AgusYudhoyono,JB&BT,2
@daudayey,person,jawa barat dan banten,daudayey,JB&BT,2
@KonJenMakassar,person,sulawesi,KonJenMakassar,SL,7
@FakfakMengajar,nonperson,maluku dan papua,FakfakMengajar,ML&PP,6
@rsudmargono,nonperson,jawa tengah dan yogyakarta,rsudmargono,JT&YO,3
@AA_DeCe,person,jabodetabek,AA_DeCe,JBD,1
@ainiciebot,person,kalimantan,ainiciebot,KA,5
@UinWSofficial,nonperson,jawa tengah dan yogyakarta,UinWSofficial,JT&YO,3
@InvestorKalem,person,jawa barat dan banten,InvestorKalem,JB&BT,2
@Ardan__,person,jawa tengah dan yogyakarta,Ardan__,JT&YO,3
@HendriSayuti,person,kalimantan,HendriSayuti,KA,5
@suhartini_nini,person,maluku dan papua,suhartini_nini,ML&PP,6
