username,isaPerson,userLocation,screen_name,userLocationCode,Lvalue
@SumateraInfo,nonperson,sumatera,SumateraInfo,SM,8
@kominfo_jtg,nonperson,jawa tengah dan yogyakarta,kominfo_jtg,JT&YO,3
@adeladell,person,sumatera,adeladell,SM,8
@bukittinggiku,nonperson,sumatera,bukittinggiku,SM,8
@museumjateng,nonperson,jawa tengah dan yogyakarta,museumjateng,JT&YO,3
@MIsezJayapura,nonperson,maluku dan papua,MIsezJayapura,ML&PP,6
@adimassapta,person,jawa timur,adimassapta,JI,4
@bmsukoco,person,jawa timur,bmsukoco,JI,4
@aMrazing,person,kalimantan,aMrazing,KA,5
@aisyahpmbd,person,jawa tengah dan yogyakarta,aisyahpmbd,JT&YO,3
@agungajiperdna,person,sumatera,agungajiperdna,SM,8
@WegoID,nonperson,jabodetabek,WegoID,JBD,1
@AndiKossay1,person,maluku dan papua,AndiKossay1,ML&PP,6
@lebahireng,person,bali dan nusa tenggara,lebahireng,NU,0
@mitaaoey,person,sulawesi,mitaaoey,SL,7
@isbibandung,nonperson,jawa barat dan banten,isbibandung,JB&BT,2
@dokter_prima,person,jabodetabek,dokter_prima,JBD,1
@banyuwangi_kab,nonperson,jawa timur,banyuwangi_kab,JI,4
@AndrianHdynt,person,jawa barat dan banten,AndrianHdynt,JB&BT,2
@Sayuko2,person,kalimantan,Sayuko2,KA,5
@dahSyatMusik,nonperson,jabodetabek,dahSyatMusik,JBD,1
@nelsonalom90,person,maluku dan papua,nelsonalom90,ML&PP,6
@blitar_bersatu,nonperson,jawa timur,blitar_bersatu,JI,4
@yas_liufeto,person,bali dan nusa tenggara,yas_liufeto,NU,0
@wikkend,person,bali dan nusa tenggara,wikkend,NU,0
@zarryhendrik,person,jabodetabek,zarryhendrik,JBD,1
@DediMulyadi71,person,jawa barat dan banten,DediMulyadi71,JB&BT,2
@undip,nonperson,jawa tengah dan yogyakarta,undip,JT&YO,3
@satpolppjabar,nonperson,jawa barat dan banten,satpolppjabar,JB&BT,2
@unisa_yogya,nonperson,jawa tengah dan yogyakarta,unisa_yogya,JT&YO,3
@IDIJawaTengah,nonperson,jawa tengah dan yogyakarta,IDIJawaTengah,JT&YO,3
@AremafcOfficial,nonperson,jawa timur,AremafcOfficial,JI,4
@AndiRachman1960,person,sumatera,AndiRachman1960,SM,8
@ariefrachman_h,person,kalimantan,ariefrachman_h,KA,5
@AndyWibowo_,person,bali dan nusa tenggara,AndyWibowo_,NU,0
@hadyna57,person,jawa tengah dan yogyakarta,hadyna57,JT&YO,3
@amrie81587337,person,kalimantan,amrie81587337,KA,5
@adji_g,person,jawa barat dan banten,adji_g,JB&BT,2
@asadullahghozi,person,jabodetabek,asadullahghozi,JBD,1
@walhikalsel,nonperson,kalimantan,walhikalsel,KA,5
@RadioPLS_mks,nonperson,sulawesi,RadioPLS_mks,SL,7
@infoPekanbaru,nonperson,sumatera,infoPekanbaru,SM,8
@jawatimurpark,nonperson,jawa timur,jawatimurpark,JI,4
@iiitsurbooiii,person,jawa timur,iiitsurbooiii,JI,4
@dr_ardi,person,jawa tengah dan yogyakarta,dr_ardi,JT&YO,3
@PMIJawaTengah,nonperson,jawa tengah dan yogyakarta,PMIJawaTengah,JT&YO,3
@infoPontianak,nonperson,kalimantan,infoPontianak,KA,5
@dt_djpjateng1,nonperson,jawa tengah dan yogyakarta,dt_djpjateng1,JT&YO,3
@die_samawa80,person,bali dan nusa tenggara,die_samawa80,NU,0
@itha_welan,person,maluku dan papua,itha_welan,ML&PP,6
@sabdaps,person,jabodetabek,sabdaps,JBD,1
@nilamsaridee,person,jawa tengah dan yogyakarta,nilamsaridee,JT&YO,3
@PemkotSemarang,nonperson,jawa tengah dan yogyakarta,PemkotSemarang,JT&YO,3
@andi_indink,person,sulawesi,andi_indink,SL,7
@MDPcampus,nonperson,sumatera,MDPcampus,SM,8
@primus_naiaki,person,bali dan nusa tenggara,primus_naiaki,NU,0
@agunghercules,person,jawa barat dan banten,agunghercules,JB&BT,2
@Univ_Bengkulu,nonperson,sumatera,Univ_Bengkulu,SM,8
@KompasTravel,nonperson,jabodetabek,KompasTravel,JBD,1
@A_MutheJKT48,person,jabodetabek,A_MutheJKT48,JBD,1
@bb_jateng,nonperson,jawa tengah dan yogyakarta,bb_jateng,JT&YO,3
@ipbofficial,nonperson,jabodetabek,ipbofficial,JBD,1
